Country_of_Origin,visitors_1000,nights_1000,spending_m,longitude,latitude
New Zealand,"1,237","14,638","2,232",172.0,-41.0
Japan,363,"13,113","1,456",138.0,36.0
Hong Kong,193,"4,913",880,114.17,22.32
Singapore,361,"5,752","1,133",103.82,1.35
Malaysia,185,"4,801",639,102.0,4.2
Indonesia,211,"10,257","1,054",113.9213,-0.7893
Taiwan,152,"9,396",921,120.97,23.7
Thailand,89,"5,257",442,100.99,15.87
Vietnam,159,"7,578",830,108.27,14.06
Philippines,162,"10,754",553,121.77,12.88
Korea,349,"10,547","1,573",127.7669,35.9078
China,860,"47,544","9,195",104.1954,35.8617
India,427,"28,870","1,806",78.9629,20.5937
Other Asia,205,"16,219","1,281",,
United States of America,672,"11,813","2,308",-98.5795,39.8283
Canada,155,"4,764",626,-106.3468,56.1304
United Kingdom,613,"22,262","2,447",-3.436,55.3781
Germany,160,"5,788",662,10.4515,51.1657
Scandinavia,81,"3,409",343,,
France,124,"9,347",779,2.2137,46.2276
Italy,65,"4,760",382,12.5674,41.8719
Netherlands,49,"1,582",207,5.2913,52.1326
Switzerland,41,"1,530",230,8.2275,46.8182
,,
,,,,,
