Region,Tourism Employment,State,Estimated Population
Sydney,45289,New South Wales,5300000
Blue Mountains,702,New South Wales,80000
Capital Country,1233,New South Wales,70000
Central Coast,2048,New South Wales,340000
Central NSW,1736,New South Wales,200000
Hunter,4096,New South Wales,660000
New England North West,1094,New South Wales,185000
North Coast NSW,4513,New South Wales,510000
Riverina,922,New South Wales,270000
Snowy Mountains,450,New South Wales,34000
Melbourne,46777,Victoria,5100000
Ballarat,964,Victoria,113000
Bendigo Loddon,985,Victoria,160000
Central Highlands,195,Victoria,150000
Geelong and the Bellarine,2146,Victoria,280000
Gippsland,1191,Victoria,270000
Goulburn,828,Victoria,32000
Great Ocean Road,1301,Victoria,30000
Macedon,617,Victoria,50000
Mallee,532,Victoria,95000
Murray East,202,Victoria,130000
Peninsula,1986,Victoria,170000
Phillip Island,362,Victoria,10000
Western Grampians,248,Victoria,38000
Wimmera,109,Victoria,55000
Yarra Valley and the Dandenong Ranges,2135,Victoria,150000
Brisbane,16949,Queensland,2500000
Bundaberg,510,Queensland,93000
Capricorn,808,Queensland,120000
Fraser Coast,490,Queensland,115000
Gold Coast,6253,Queensland,700000
Mackay,616,Queensland,117000
Sunshine Coast,3554,Queensland,390000
Townsville,1158,Queensland,190000
Adelaide,8232,South Australia,1300000
Barossa,209,South Australia,27000
Clare Valley,100,South Australia,10000
Eyre Peninsula,280,South Australia,58000
Riverland,154,South Australia,36000
Perth,14644,Western Australia,2100000
Australia's Coral Coast,487,Western Australia,55000
Australia's Golden Outback,490,Western Australia,75000
Australia's South West,1554,Western Australia,300000
Hobart and the South,2210,Tasmania,240000
Launceston and the North,935,Tasmania,150000
North West,546,Tasmania,110000
Darwin,1138,Northern Territory,150000
Alice Springs,195,Northern Territory,26000
Barkly,19,Northern Territory,8000
Lasseter,7,Northern Territory,5000
MacDonnell,10,Northern Territory,5000
Litchfield Kakadu Arnhem,87,Northern Territory,30000
