Country_of_Origin,visitors_1000,nights_1000,spending_m
New Zealand,"1,237","14,638","2,232"
Japan,363,"13,113","1,456"
Hong Kong,193,"4,913",880
Singapore,361,"5,752","1,133"
Malaysia,185,"4,801",639
Indonesia,211,"10,257","1,054"
Taiwan,152,"9,396",921
Thailand,89,"5,257",442
Vietnam,159,"7,578",830
Philippines,162,"10,754",553
Korea,349,"10,547","1,573"
China,860,"47,544","9,195"
India,427,"28,870","1,806"
Other Asia,205,"16,219","1,281"
United States of America,672,"11,813","2,308"
Canada,155,"4,764",626
United Kingdom,613,"22,262","2,447"
Germany,160,"5,788",662
Scandinavia,81,"3,409",343
France,124,"9,347",779
Italy,65,"4,760",382
Netherlands,49,"1,582",207
Switzerland,41,"1,530",230
Total,"7,681","296,387","35,461"
,,,
